,comentario,machista,fuenteURL,titulo,tipoFuente,nombreMedio,generoProtagonista,numeroProtagonista,ambito,numeroComentarios,tematica,delete,fuenteID
842,"Vaya vayita vaya  Ahora Pablo Casado firma el Pacto del Tocomocho con el Presidente   Pero lo de los Jueces, eso no se toca. Esto es gran política a nivel Estadistas en plan Winston Chuches y Eishenjauer  me parto",0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
843,"Al leer sus posteos siempre me queda la sensación de una escritura morbosa, casi de una celebración de que exista su ministerio ante cada femicidio. No sé, quizas sea solo mi sensación repito, porque de otra manera seria reconocer fracaso de su ministerio que no salva a nadie.",C,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
844,El Tribunal Supremo se opone al indulto de Juana Rivas  vía,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
845,"Y a los sindicatos les da igual, te lo digo. Tienen todos conocimiento.",0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
846,"Los afectados por las ""enfermedades invisibles"" reclaman mayor investigación y formación de los sanitarios  vía",0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
847,"Insisto, han creado el escenario para que el año que viene #DavidFlores participe en algún reality. Mi deseo, que se cruce por los pasillos de #MediasetCompliceDeMaltrato con #RocioCarrasco. Él sabe que #olganoessumadre. Tal vez sea su #LIBERARADAVIDFLORES.",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
848,Juana Rivas es una DELINCUENTE y ningún tribunal le va a dar la razón nunca. #JuanaEstaEnMiCasa #juanarivas #18Feb,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
849,"Ahora resulta que como ""ha ganado"" un concurso resulta que ya vive de eso? Estáis mal en. Pero si esta señira lleva viviendo de hablar de RC 20 años junto a su mario. Que me estas contando. Y RC muy orgullosa tiene que estar de ser hija de quien es, una de las más grandes .",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
850,La alegría de Rosa Benito al escuchar a Rocío Carrasco #Rosabenito #Rociocarrasco Fuente: Telecinco,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
851,Cuántos sois? Igual poniendo 100 pavos por cabeza no pasáis calor. Es una idea.,0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
852,", ayer en su entrevista a , buscando titular en vez de información. La vice dio información de las negociaciones pero la periodista quería el titular de derogación o no. Buena culpa la tienen los que siguen enrocados en las palabras y no en las ideas.",0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
853,"Veo que has visto solo una versión,en una de las investigaciones la jueza dictaminó que las declaraciones que hacía no atentaban a su honor ya que ella participaba también,pero vamos que estas investigaciones os las pasáis por el forro,os gustan más Cárdenas y Cía.",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
854,"La tertúlia d'avui la feim amb  i Esperança Bosch. Parlam de l'ordre d'ingrés immediat a la presó de Juana Rivas amb Francisca Fuillerat, una de les portaveus de la Plataforma en suport a #JuanaRivas",0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
855,"¿Qué dirá sobre esto la payasa de ""igualdad""?",1,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
856,Os tendrían que denunciar por difamadores y a esa #RocioCarrasco por insultar a unas personas!#OlgaAhora,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
857,En el reparto de cerebros a ti te ha tocado melon!,C,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
858,"Lo de  el ministerio  es vergonzoso. ¿No sabe o no quiere distinguir sexo de género? ¿Qué feminismo es ese q no solo no defiende la abolición del género, sino q lo quiere perpetuar?Gran decepción  todo el gobierno  y",C,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
859,"""Todas tenemos la misma demanda, independientemente de las características de nuestros casos, y es básicamente la falta de atención que se nos presta"", arranca Itziar Prats, a quien su expareja asesinó a sus hijas Nerea y MartinaPor",0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
860,La lumbrera de la Sra Granados causante del marròn que se va a comer Juana....DA CLASES DE IGUALDAD EN LA UNIVERSIDAD DE GRANADA!!! #juanarivas,C,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
861,Jamás voy a votar a la derecha.,0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
862,¿Antonio Cantó impone algo de cordura en su partido?Cantó lo hace aún a sabiendas de que las feminazis desatarán la habitual campaña difamatoria contra el disidente/opositor.Los demás partidos mantienen la pugna por ser el feminazi mayor del reino.,1,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
863,Sálvame y JJ en La Palma,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
864,hashtag Mal escrito de ANTONIO DAVID FLORES y la MAREA AZUL hace el RIDICULO #mareafucsia #rociocarrasco #antoniodavidflores #yoveosalvame,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
865,Yo tampoco olvido,0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
866,"Así ha evolucionado la posición de Madrid en el ranking de calidad de vida de las ciudades. Menudo carrerón lleva el gobierno Almeida. Con Carmena pasamos en cuatro años del 16 al 8,  con Almeida hemos perdido esos puestos en dos años.",0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
867,"#APOYOROCIO31O #MareaAzul #SÁBADODELUXE #yoveosalvame #ADEstaEnMiCasa #RocioCarrasco Me da igual de qué lado estéis, pero dejad de subir fotos de la cara de David Flores, RESPETO.",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
868,Lo que se está haciendo en ese programa con Olga  es de tener maldad y poca vergüenza #RocíoYoNoTeCreo #OlgaSiTieneOvarios,0,https://twitter.com/search?q=%23rocioyonotecreo&src=typed_query&f=top,(#rocioyonotecreo),RRSS,twitter,mujer,mixto,personal,4979.0,tv; maltrato,False,T9
869,"Me imagino que tras la puñalada de Tele 5, estarás pensando en dimitir y renunciar a trabajo y sueldo en tu cadena amiga…Creo que la razón solo se puede demostrar con hechos y coherencia…",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
870,¿DESCEREBRADAS?¿FEMINAZIS? ¿ MUJERES NORMALES?¡AH! Así que es una ONG SUBVENCIONADA  la que lo organiza?¡¡¡Curioso!!!Yo también de joven usaba la 40 y ahora uso la 46.. Y si me aprieta.. pido la 48 Y ya está.ANALFABETAS Y DESCEREBRADAS.#STOPFeminazis,1,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
871,"Imagínate lo que ganaría en la empresa privada      o  . Es más, no creo que ninguna empresa privada los contratase",0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
872,"Nuevo HT :#RespetoParaRocioFloresNo es justo lo que le están haciendo, no le da nada por dentro a esa madre lo que ha provocado.",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
873,"Este chaval Mentiroso hoy hace mucho, muchísimo daño con su mentira a toda la gente #LGTBI que sufre los ataques ultras. Pero LOS ATAQUES SIGUEN y una gran mentira NO FRENARÁ la LUCHA contra la Homofobia. #Homofobia",0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
874,comienza su intervención con ejemplos de titulares sobre el caso #RocíoCarrasco y el desconocimiento que hay acerca del concepto de violencia vicaria. #12CongresoVG,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
875,"Federación de autonomías?Si tienen más autogobierno que los Lander alemanes...Con eso lo que quieren es crear el cortijo particular de la casta política...Los que lo proponen se saltaron la ley y los advirtieron,por eso fueron presos,no confundas.Y ni deberían haber salido",0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
876,Que mente más cerrada!!,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
877,"#MalditaHemereotecaVenga   que ya tenemos los pechos calientes, cumpla con su palabra.",0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
878,A mí me da que este discurso según el cual el obrero que se pasa ocho horas al día en el andamio es un privilegiado que oprime a Susanna Griso y a Ana Patricia Botín va a generar una reacción adversa en bastantes segmentos de la población.,0,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
879,"⁦⁩ al servicio del argumentario dictado ⁦⁩ .Pese a q otros ministros reconocen q lo sabían, ⁦⁩ dice q el 8M no había restricciones q el propio Gob tenía q haber impuesto para evitar contagio masivo manis. Y culpa a los expertos",0,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
880,el día analizando la lógica de...   etc y sus sucios,0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
881,#PedrocheCampanadas#edredoningEa. Salí tan fea q me tuve q tapar. No tengo los genes de la pedroche Taban sonando ya los cuartos en el momento foto y no di para más,C,https://twitter.com/search?q=%23pedrochecampanadas&src=typed_query&f=top,(#pedrochecampanadas),RRSS,twitter,mujer,individual,mixto,2821.0,tv; campanadas; vestido,False,T2
882,"#BienvenidoDiciembre... lo que significa que comienza mi misión para descubrir cómo es el vestido de  de este año !!! Muy pronto, el resultado...  #1Diciembre #PedrocheCampanadas",0,https://twitter.com/search?q=%23pedrochecampanadas&src=typed_query&f=top,(#pedrochecampanadas),RRSS,twitter,mujer,individual,mixto,2821.0,tv; campanadas; vestido,False,T2
883,"SiiiiTan tiernaaaaaa, ains #GraciasAnaRosa#FidelEsTuProblemaRC#FabricaDeLaTeleAcosadores#RocioYoNoTeCreo",0,https://twitter.com/search?q=%23rocioyonotecreo&src=typed_query&f=top,(#rocioyonotecreo),RRSS,twitter,mujer,mixto,personal,4979.0,tv; maltrato,False,T9
884,. tiene toda la razón: esta pancarta tiene una carga ideológica andrófoba intolerable y  no debería exhibirla.,C,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
885,"Violencia es el programa de T5 y no le clausuran la mentirosa feminista el enano cabezon, el Kiko H la Belen R son tóxicos destructivos y mala gente y nadie tiene el poder para censurar el programa donde están los jueces?",1,https://twitter.com/search?q=(%23carlotacorredera)%20OR%20(%40CarlotaLlauger)&src=typed_query&f=top,(#carlotacorredera) OR (@CarlotaLlauger),RRSS,twitter,mujer,individual,mixto,4928.0,tv; corazón,False,T6
886,Y ahora...#IreneMonteroDimision #JuanaRivas,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
887,PLUS embarazada sufre crueles críticas en las redes ¡Mira su respuesta!,C,https://twitter.com/search?q=%23pedrochecampanadas&src=typed_query&f=top,(#pedrochecampanadas),RRSS,twitter,mujer,individual,mixto,2821.0,tv; campanadas; vestido,False,T2
888,¿Sólo con respecto a la reforma laboral?,0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
889,"Quizá haya que acordarse HOY de #JuanaRIVAS, otra #víctima de #ViolenciaMachista, condenada por intentar proteger a sus hijos.#Viopet#RocíoCaiz#NiUnaMás#NiUnaMenos#ANNAyOLIVIA#016ParaTodas#ViolenciaVicaria#NosQueremosVivas#ViolenciaDeGénero RT :",0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
890,Tú sí debes dar explicaciones a tus padres porque seguro no eres deseada. #rocioyonotecreo,1,https://twitter.com/search?q=%23rocioyonotecreo&src=typed_query&f=top,(#rocioyonotecreo),RRSS,twitter,mujer,mixto,personal,4979.0,tv; maltrato,False,T9
891,Y por qué no fué a buscarlo #RocioCarrasco? Por qué a mí no me devuelven a mi hijo y voy con la Guardia civil a por él . Demasiadas excusas de Rocío Carrasco,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
892,El juez que condena a Juana Rivas reproduce los mismos argumentos machistas en varias sentencias desde 1999,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
893,El nuevo comunismo,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
894,Me parece que tu reiki es un autentico fracaso,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
895,Mucho se habla del vestido de la  y poco de este precioso atuendo de .Ni sé con cuál me quedo...  Alguien me ayuda? #PedrocheCampanadas #Neymar #COVID19 #raveparty #FelizAnoNuevo #1Enero,0,https://twitter.com/search?q=%23pedrochecampanadas&src=typed_query&f=top,(#pedrochecampanadas),RRSS,twitter,mujer,individual,mixto,2821.0,tv; campanadas; vestido,False,T2
896,"Y dale con ""despojar"". Ignoras su decisión. Es una mujer q DECIDE Pasan una evaluación psicológica, conocen el proceso. Sigues poniendo la mirada en las mujeres forzadas. Este debate es un bucle.Por cierto, Óvulo DONADO. El código Civil es claro con la propiedad de lo donado.",0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
897,Canada : les termes «Madame» et «Monsieur» proscrits du service public  #Société,0,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
898,"Ahora hay que defender a las mujeres aunque agredan a sus madres, o aunque salga una apoyar que su marido no pague la pensión de sus otros hijos!!! Como son mujeres no puede criticarles.",0,https://twitter.com/search?q=(%23carlotacorredera)%20OR%20(%40CarlotaLlauger)&src=typed_query&f=top,(#carlotacorredera) OR (@CarlotaLlauger),RRSS,twitter,mujer,individual,mixto,4928.0,tv; corazón,False,T6
899,#OlgaMujer10  NO OS LO PERDAIS! #rocioyonotecreo #ApagonTvBasura,0,https://twitter.com/search?q=%23rocioyonotecreo&src=typed_query&f=top,(#rocioyonotecreo),RRSS,twitter,mujer,mixto,personal,4979.0,tv; maltrato,False,T9
900,La gráfica muestra 2020? De verdad???? Sabéis cusndo empezó la escasez de suministros y aumento bestia de precios? Hola? Hay alguien ahí??,0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
901,Quiero FELICITAR A LA POLICIA  que abatió a un subsahariano en Villaverde impidiendo una masacre de ciudadanos españoles ya que el angelito tenía antecedentes e iba armado con un cuchillo con el que hirió a un policía. Ojalá se recupere pronto. GRACIAS.,0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
902,"vete de sálvame que al final te la jugaron,para montar el circo está claro que Telecinco no te ha creído nada!sólo quería audiencia , no creo que tengas que rebajarte por una sección en sálvame que además no sirve para nada yo que tú me piro!!!!!",0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
903,"El explora de mi instagram se basa en la pedroche y su vestido en las campanadas. Qué bonita la libertad, de vestir, sentir y vivir como quieras. #Pedrochecampanadas Ala feliz año, taluegomaricarmen!",0,https://twitter.com/search?q=%23pedrochecampanadas&src=typed_query&f=top,(#pedrochecampanadas),RRSS,twitter,mujer,individual,mixto,2821.0,tv; campanadas; vestido,False,T2
904,Mejor no comentar.,0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
905,Miradlo ambos por otro:No puede ser que de media en España se salga de trabajar entre una y dos horas mas tarde que en el resto de EuropaAl final daría igual el horario si esto se corrigiera...,0,https://twitter.com/search?q=(%23anapastor)%20OR%20(%40_anapastor_)&src=typed_query&f=top,(#anapastor) OR (@_anapastor_),RRSS,twitter,mujer,mixto,profesional,4924.0,tv; periodismo,False,T5
906,"Qué vergüenza ajena, por Dios...",0,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
907,"Ay, el gusiluz que debe de ser que le sale regalao el poner demandas y dirá a ver si un año de estos gana algún juicio. R.C.  Asco das, has enfangado a tus hijos pero al final la que se hundirá serás TÚ#rocioyonotecreo",1,https://twitter.com/search?q=%23rocioyonotecreo&src=typed_query&f=top,(#rocioyonotecreo),RRSS,twitter,mujer,mixto,personal,4979.0,tv; maltrato,False,T9
908,OJO y mucha atención. Aquí lo importante no es la noticia. Lo realmente relevante son los COMENTARIOS.OJO!!!!! #OperaBeachClub#LosNegociosDelSer#APOYOROCIO20O#JusticiaParaRocio#RocioCarrasco,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
909,Los filósofos la libramos o qué onda?  #AnoNuevo2020 #NewYearChallenge  #felizNochevieja #Adios2019  #PedrocheCampanadas,0,https://twitter.com/search?q=%23pedrochecampanadas&src=typed_query&f=top,(#pedrochecampanadas),RRSS,twitter,mujer,individual,mixto,2821.0,tv; campanadas; vestido,False,T2
910,Yo me refería al q actúa habitualmente así. Porque en prensa ya hay una tendencia a ello.,0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
911,"El lunes, en Ayamonte. Concentración en solidaridad con el Pueblo Palestino. A las 20h en la Plaza de la Laguna. #FreePalestine #gaza #BoicotIsrael #nakba73 #savesheikhjarrah #juanarivas",0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
912,Exactamente... Como a tantos otros ya les ha pasado...,0,https://twitter.com/search?q=(%23juanarivas)%20OR%20(%40JuanaRivasLucha)&src=typed_query&f=top,(#juanarivas) OR (@JuanaRivasLucha),RRSS,twitter,mujer,individual,personal,4867.0,política; feminismo,False,T11
913,Lo mismo da que leas esto cuando  o  o quien venga después.Hay días cómo hoy que Madrid huele a tubo de escape.,0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
914,Pegatinas en juzgados violencia de Madrid,0,https://twitter.com/stopfeminazis00,(#stopfeminazis),RRSS,twitter,mujer,mixto,mixto,4800.0,feminismo,False,T12
915,"Maemía lo guarra que tiene Madrid Carmena... ah, no, calla, que ahora está Martínez El Facha, pero, por lo que sea, la recua de bots que repetían lo de la basura como loros cuando estaba , ahora están callados como puteros en misa.",0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
916,"La segunda foto, además de en invierno, está tomada en plenas obras. Ese proyecto fue el más votado por la ciudadanía...no es el que voté yo, pero es el que prefirió la mayoría. Creo que hay que ser un poco paciente y esperar al resultado final.",0,https://twitter.com/search?q=(%23manuelacarmena)%20OR%20(%40ManuelaCarmena)&src=typed_query&f=top,(#manuelacarmena) OR (@ManuelaCarmena),RRSS,twitter,mujer,individual,mixto,4968.0,política,False,T4
917,Siempre!!,0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
918,Gente que os supera en todos los aspectos dice jajajajajajajjajajajja en esto seguro !!,0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
919,#APOYOROCIO28J,0,https://twitter.com/search?q=(%23rociocarrasco)%20OR%20(%40RocioCarrascooo)&src=typed_query&f=top,(#rociocarrasco) OR (@RocioCarrascooo),RRSS,twitter,mujer,individual,personal,4987.0,tv; maltrato,False,T7
920,"Son sus costumbres y hay que respetarlas, aunque vengan y nos quieran importar esto … Que diría  de esto? Sus costumbres?",0,https://twitter.com/search?q=(%23irenemontero)%20OR%20(%40IreneMontero)&src=typed_query&f=top,(#irenemontero) OR (@IreneMontero),RRSS,twitter,mujer,individual,mixto,4863.0,política; feminismo,False,T10
921,"#Supervivientes16J #SUPERVIVIENTES #FidelEsTuProblemaRC #MachismoCorredera #RCMalaMadre #RocioYoNoTeCreo #QueActueLaFiscalia #RocioFloresYoSiTeCreo #CarlotaPradoJusticiaYa El Maestro Joao el Gusano, sabe como vivir de la miseria, deja a la familia Flores en paz mariquita de",C,https://twitter.com/search?q=%23rocioyonotecreo&src=typed_query&f=top,(#rocioyonotecreo),RRSS,twitter,mujer,mixto,personal,4979.0,tv; maltrato,False,T9
